Designator,Mid X,Mid Y,Rotation,Layer
MX45,361.95,-133.35,0.0,top
MX46,395.2875,-133.35,0.0,top
MX47,414.3375,-133.35,0.0,top
MX48,109.5375,-152.4,0.0,top
MX49,133.35,-152.4,0.0,top
MX5,190.5,-85.725,0.0,top
MX50,152.4,-152.4,0.0,top
MX51,171.45,-152.4,0.0,top
MX52,190.5,-152.4,0.0,top
MX53,209.55,-152.4,0.0,top
MX54,228.6,-152.4,0.0,top
MX55,247.65,-152.4,0.0,top
MX56,266.7,-152.4,0.0,top
MX57,285.75,-152.4,0.0,top
MX58,304.8,-152.4,0.0,top
MX59,323.85,-152.4,0.0,top
MX6,209.55,-85.725,0.0,top
MX60,342.9,-152.4,0.0,top
MX61,369.0938,-161.925,0.0,top
MX62,395.2875,-152.4,0.0,top
MX63,414.3375,-152.4,0.0,top
MX64,111.9188,-171.45,0.0,top
MX65,138.1125,-171.45,0.0,top
MX66,157.1625,-171.45,0.0,top
MX67,176.2125,-171.45,0.0,top
MX68,195.2625,-171.45,0.0,top
MX69,214.3125,-171.45,0.0,top
MX7,233.3625,-85.725,0.0,top
MX70,233.3625,-171.45,0.0,top
MX71,252.4125,-171.45,0.0,top
MX72,271.4625,-171.45,0.0,top
MX73,290.5125,-171.45,0.0,top
MX74,309.5625,-171.45,0.0,top
MX75,328.6125,-171.45,0.0,top
MX76,347.6625,-171.45,0.0,top
MX77,395.2875,-171.45,0.0,top
MX78,414.3375,-171.45,0.0,top
MX79,107.1563,-190.5,0.0,top
MX8,252.4125,-85.725,0.0,top
MX80,128.5875,-190.5,0.0,top
MX81,147.6375,-190.5,0.0,top
MX82,166.6875,-190.5,0.0,top
MX83,185.7375,-190.5,0.0,top
MX84,204.7875,-190.5,0.0,top
MX85,223.8375,-190.5,0.0,top
MX86,242.8875,-190.5,0.0,top
MX87,261.9375,-190.5,0.0,top
MX88,280.9875,-190.5,0.0,top
MX89,300.0375,-190.5,0.0,top
MX9,276.225,-85.725,0.0,top
MX90,319.0875,-190.5,0.0,top
MX91,345.2813,-190.5,0.0,top
MX92,371.475,-190.5,0.0,top
MX93,414.3375,-190.5,0.0,top
MX94,107.1563,-209.55,0.0,top
MX95,130.9688,-209.55,0.0,top
MX96,154.7813,-209.55,0.0,top
MX97,226.2188,-209.55,0.0,top
MX98,297.6563,-209.55,0.0,top
MX99,321.4688,-209.55,0.0,top
R2,406.4867,-73.6703,45.0,top
R3,404.8992,-72.0828,45.0,top
R4,412.5837,-67.4687,315.0,top
R5,388.1438,-61.8507,270.0,top
R6,411.9562,-213.75,270.0,top
SW1,416.5525,-63.5,45.0,top
U1,400.05,-61.8507,135.0,top
Y1,409.1578,-55.7746,225.0,top
